ScientificName,State,County,Town,Locality,Latitude,Longitude,Elevation,GPSOrMap,Date,HabitatType,Abundance,Distribution,PercentageCover,EvidenceOfReproduction,Reporter
Frangula alnus,MA,Hampden,Holyoke,East Mountain Wildlife Management Area; North side of water tank access road; approximately 300 meters Southeast of water tanks; approximately 75 meters Northwest of Main Road (public road),42.21348,-72.6443,503,Map,10/23/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampden,Holyoke,East Mountain Wildlife Management Site; Southern perimeter of Water Tanks - plot at edge between mowed area and forest ,42.21424,-72.6487,635,Map,10/23/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampden,Holyoke,Approximately 50 meters South of North entrance parking area (off East Hampton Road); East of trail by approximately 10 meters;  Approximately 1000 meters North of water tanks,42.22369,-72.64667,567,Map,10/29/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Cummington,Take rt 9 west from Northampton approximately 23 miles take the W. Main St. Rd. NW at West Cummington. Then bear right (North) on to West Rd. Go about 1/2 mile and park on the east side of the rd. There is a trail that goes into the reservation. This is a companion submission to #2655,42.4944,-72.9599,0,Map,9/3/2004,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Janet Bissell
Frangula alnus,MA,Hampshire,Cummington,Chesterfield State Forest south side of route 9 just east of Cummington Village at rest stop,42.45278,-72.88194,870,Map,10/17/2004,Terrestrial,20-99,Single Patch,1-5%,No,Sherrill Redmon
Frangula alnus,MA,Hampshire,Cummington,Chesterfield State Forest south side of route 9 just east of Cummington Village at rest stop.,42.44222,-72.86111,0,Map,10/17/2004,Terrestrial,Less than 20,Single Patch,Less than 1%,No,Sherrill Redmon
Frangula alnus,MA,Hampshire,Huntington,Knightville State Wildlife Management Area; approximately 500 meters South of BM 195.3,42.3357,-72.85253,745,Map,11/14/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville State Wildlife Management Area; approximately 550 meters Southwest of BM 195.3; approximately 300 meters due West of Access Road,42.33498,-72.85429,696,Map,11/5/2002,Terrestrial,Less than 20,No Invasives,6-25%,No,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville State Management Area; approximately 150 meters South of Campground,42.34199,-72.84899,646,Map,11/5/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville State Wildlife Management Area; approximately 450 meters South-Southeast of Campground - between Access Road and River,42.33982,-72.84755,646,Map,10/31/2002,Terrestrial,20-99,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville State Wildlife Management Area; approximately 100 meters East of un-named trail between Westfield River and Hiram H. Fix State Wildlife Management Area; approximately 500 meters Northwest of Westfield River; approximately 650 meters Southwest of BM 195.3,42.33659,-72.85634,820,Map,10/31/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville State Wildlife Management Area; approximately 150 meters South-Southeast of campground,42.34212,-72.84838,646,Map,11/5/2002,Terrestrial,20-99,No Invasives,6-25%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Knightville - Indian Hollow Road Campground; Field by campfires etc.,42.33833,-72.84611,571,Map,10/14/2002,Terrestrial,Single Plant,No Invasives,6-25%,No,Joclyn Forbush
Frangula alnus,MA,Hampshire,Huntington,South of campground approximately 1000 meters and approximately 250 meters due West of river,42.33484,-72.8528,705,Map,10/31/2002,Terrestrial,Less than 20,No Invasives,1-5%,No,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Approximately 500 meters South-Southeast of campground; Between river and road,42.33889,-72.84834,646,Map,10/31/2002,Terrestrial,Less than 20,No Invasives,6-25%,No,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Approximately 250 meters South of campground,42.34161,-72.85075,650,Map,11/6/2002,Terrestrial,Less than 20,No Invasives,26-50%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Huntington,Approximately 950 meters South-Southwest of BM 195.3 and 15 meters West of 4-wheel drive road in low area of beaver activity,42.3325,-72.85541,650,Map,10/31/2002,Terrestrial,20-99,No Invasives,26-50%,Yes,Robin MacEwan
Frangula alnus,MA,Hampshire,Worthington,From Northampton take rt.9 west to Williamsburg go west on rt. 143 through Chesterfield and into Worthington in West Worthington turn south on River Rd. Approximately 1mile on the right (west) side of the road is an access into Peru (or Fox Den) state forest. We just parked on the east side of road and walk to the access road.,42.4045,-72.9826,1180,Map,9/8/2004,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Janet Bissell
Frangula alnus,MA,Middlesex,Acton,Great Hill Conservation Land Acton MA                        USA,42.46218,-71.45323,237,GPS,7/29/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Ed Petcavage
Frangula alnus,MA,Middlesex,Ashland,Take Salem End Road West to Sudbury Valley Trustees Cowassock Woods sign (on left).  Follow trail South to powerlines take trail to the East.,42.28267,-71.47661,325,GPS,10/29/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Ashland,Take Salem End Road West to Sudbury Valley Trustees Cowassock Woods property (sign on left).  Park and follow trail South to powerlines take trail East back into woods. ,42.28189,-71.47639,325,GPS,10/29/2002,Terrestrial,Single Plant,No Invasives,Less than 1%,No,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Ashland,Take Salem End Road West from Framingham Center to Ashland Town Forest sign (on left).  Park and take white trail South follow North as trail turns. ,42.27567,-71.48022,305,GPS,10/31/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Ayer,The location is at Bare Hill Pond in Harvard MA. (The online form didn't list Harvard so I listed the nearest town Ayer.),0,0,0,Map,8/6/2005,Terrestrial,Less than 20,Multiple Patches,Less than 1%,No,Stephanie Parrish
Frangula alnus,MA,Middlesex,Bedford,In town-owned Wilderness Park conservation area along a trail approximately 0.4 mile east of Springs Road.  Site is north of US Veterans Hospital and due east (across Springs Road) from large parking area for Middlesex Community College.,42.50901,-71.27141,50,GPS,10/4/2006,Terrestrial,20-99,Evenly Sparse,1-5%,Yes,Ted Elliman
Frangula alnus,MA,Middlesex,Billerica,Billerica State Forest - summit Gilson Hill,42.65867,-71.2998,0,GPS,7/30/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Billerica,Billerica State Forest - between Rte. 3 and Chelmsford Rd.,42.58335,-71.30492,0,GPS,7/30/2005,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Billerica,Billerica State Forest - N of Chelmsford Rd.,42.58636,-71.30233,0,GPS,7/30/2005,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,From canoe-launch parking lot on Norht Rd. follow Pine Point Loop Trail South to 2nd intersection of Beaver Loop.  Plot is on top of knoll to the North amid glacial erratics.,42.55405,-71.34058,164.04,GPS,9/5/2003,Terrestrial,Less than 20,Evenly Sparse,1-5%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,From canoe-launch parking lot on Norht Rd. follow Pine Point Loop Trail South passing the 1st Beaver Loop entrance and continuing about 200; to a large glacial erratic next to an unmarked trail on the West enter the woods opposite this leaving the trail and go east about 80; to a place between a small glacial erratic and a vernal pool,43.55493,-71.33988,164.04,GPS,9/11/2003,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,From canie-launch parking lot on North Rd. follow Pine Point Loop Trail South to 2nd Keyes Loop entrance.  Follow Keyes Loop crossing a stone wall and continue about 25' further to a point where Keyes Loop bends East and a game trail emerges North.  Follow the game trail about 60' to a fork.  Take the North fork and walk about 80; N to a red maple swamp.,42.55303,-70.34127,160.76,GPS,9/11/2003,Terrestrial,20-99,Multiple Patches,6-25%,No,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,From canoe-launch parking lot on North Rd. follow Pine Point Loop Trail South passing both Beaver Loop entrances and the 1st Keyes Loop entrance. Continue a short distance to a point wehre an unmarked trail goes off to the E. Leave the trail and enter the woods oppostie the unmarked trail.  Plot center si about 80' due W.,42.56917,-71.34022,167.32,GPS,9/11/2003,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - corner of Maple & Brook,42.53601,-71.31644,0,GPS,7/14/2005,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - trail to pond,42.53384,-71.31563,0,GPS,7/12/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - edge of parking lot,42.52669,-71.31634,0,GPS,7/14/2005,Terrestrial,100-999,Dense Throughout,75-100%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - W of pond,42.53334,-71.31376,0,GPS,7/14/2005,Terrestrial,Less than 20,Evenly Sparse,1-5%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - pond/trail edge near barn,0,0,0,GPS,7/14/2005,Terrestrial,20-99,Dense Throughout,51-75%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land -  Blueberry Trail,42.53172,-71.31876,0,GPS,7/20/2005,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Carlisle,Greenough Land - Red Maple Swamp,42.52815,-71.31029,0,GPS,7/20/2005,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Kathy Wilensky
Frangula alnus,MA,Middlesex,Concord,Walden Pond Esker Trail Long Cove by railroad track,42.43806,-71.34472,194,Map,8/25/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Deepti Zaremba
Frangula alnus,MA,Middlesex,Framingham,Take Salem End Road West from Framingham Center to Sudbury Valley Trust Cowassock Woods (sign on left).  Park and take trail South to powerlines. ,42.28353,-71.47336,305,GPS,10/29/2002,Terrestrial,100-999,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Take Salem End Road West.  Park at Sudbury Valley Trustees Cowassock Woods sign (on left).  Take trail South into woods. ,42.28467,-71.47219,295,GPS,10/29/2002,Terrestrial,100-999,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into parking lot (South entrance) off Millwood Street take Moore Road trail Southwest to Eagle Pond,42.31961,-71.46894,230,GPS,10/9/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South entrance parking lot off Millwood Street.  Take More Road Trail Southwest to just before Baiting Brook.,42.31981,-71.46639,223,GPS,10/9/2002,Terrestrial,20-99,No Invasives,26-50%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South parking lot off Millwood Street.  Take Moore Road Trail Southwest.  Go South into open field.  ,42.31922,-71.46681,223,GPS,10/9/2002,Terrestrial,20-99,No Invasives,26-50%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South entrance parking lot off Millwood Street.  Take Moore Road Trail Southwest.  Turn North to Eagle Pond.  Take trail up hill into woods. ,42.32028,-71.47119,266,GPS,10/9/2002,Terrestrial,100-999,No Invasives,26-50%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South entrance parking lot off Millwood Street.  Take Moore Road Trail to Deer Run Trail to Lady Slipper Trail.  ,42.32033,-71.47725,325,GPS,10/9/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South entrance parking lot off Millwood Street.  Take Moore Road Trail Southwest into woods.,42.31853,-71.47547,289,GPS,10/9/2002,Terrestrial,100-999,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Turn into South entrance parking lot from Millwood Street.  Take Moore Road Trail into woods.,42.31878,-71.47181,255,GPS,10/9/2002,Terrestrial,100-999,No Invasives,75-100%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park.  Take Edmands Road West past the Welch Reservation.  Take Pipeline Trail Southeast.  Take Sparrow Trail Southwest.,42.32436,-71.46922,279,GPS,10/18/2002,Terrestrial,100-999,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Take Edmonds Road West past the Welch Reservation.  Take Pipeline trail Southeast.  Take Sparrow Trail Southwest.,42.32544,-71.46961,315,GPS,10/18/2002,Terrestrial,Less than 20,No Invasives,1-5%,No,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Take Edmonds Road West from its intersection with Nixon Road.  Take Backpacker Trail North (entrance is directly across from Red Tail Trail) to Beebe Pond.  ,42.33525,-71.48525,335,GPS,11/8/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Take Edmonds Road West from intersection with Nixon Road.  Take Backpacker Trail North to Beebe Pond.  Follow trail around Southeast side of pond.  ,42.33383,-71.48642,335,GPS,11/8/2002,Terrestrial,20-99,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Callahan State Park; Take Edmands Road West from intersection with Nixon Road.  Take Backpacker Trail North into Callahan State Park. ,42.33119,-71.47978,335,GPS,11/8/2002,Terrestrial,20-99,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Take Dudley Road North along West side of Farm Pond from Fountain Road.  Park in first pulloff.  Walk Northeast to pond shore. ,42.28072,-71.43047,157,GPS,10/15/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Take Dudley Road North from Fountain Road - go along West side of Farm Pond.  Take first pulloff.  Walk Northeast to pond shore.,42.28089,-71.43064,157,GPS,10/15/2002,Terrestrial,20-99,No Invasives,51-75%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Take Dudley Road North from Fountain Road alogn West side of Farm Pond.  Park in parking lot after pulloff.  Walk Northeast along trail.,42.2835,-71.43306,167,GPS,10/15/2002,Terrestrial,More than 1000,No Invasives,75-100%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Take Dudley Road North from Fountain Road along West side of Farm Pond.  Park in parking lot after pulloff.  Walk Northeast along trail.,42.28289,-71.43253,167,GPS,10/15/2002,Terrestrial,100-999,No Invasives,6-25%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Go North on Edgell Road from intersection with Water Street.  Cross over town line and park in Nobscot Boy Scout Reservation lot.  Walk Southwest along Ellis land trail to Jethro trail heading West until clearing.,42.34308,-71.44517,302,GPS,10/25/2002,Terrestrial,20-99,No Invasives,1-5%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Framingham,Go North on Edgell Road from intersection with Water Street.  Cross town line park in Nobsot Boy Scout Reservation lot.  Walk Southwest along Ellis Trail then West on Jethro Trail.,42.34342,-71.44211,256,GPS,10/25/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Harvard,Oxbow NWR parking lot (north one). North from metal gate by 40 meters and left towards Nashua River,42.49722,-71.62556,0,Map,6/24/2004,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Peter Alden
Frangula alnus,MA,Middlesex,Harvard,Oxbow NWR (south lot for canoes into Nashua River) Area between entry road and Nashua River,42.495,-71.62667,0,Map,6/24/2004,Terrestrial,Less than 20,No Invasives,,No,Peter Alden
Frangula alnus,MA,Middlesex,Hopkinton,Hopkinton State Park Site ID 42071-c5-tm-025-E1/2-2 ,42.25417,-71.51583,0,Map,8/5/2004,Terrestrial,20-99,Dense Throughout,51-75%,Yes,Pam Helinek
Frangula alnus,MA,Middlesex,Hopkinton,Hopkinton State Park Site ID 42071-c5-tm-025-E1/2-2 ,42.25417,-71.51583,0,Map,8/5/2004,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Pam Helinek
Frangula alnus,MA,Middlesex,Hopkinton,Hopkinton State Park Site ID 42071-c5-tm-025-E1/2-2 ,42.25417,-71.51583,0,Map,8/5/2004,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Pam Helinek
Frangula alnus,MA,Middlesex,Hopkinton,The parking lot perimeter at the Whitehall state park boat launch,42.2415,-71.57239,367,GPS,6/8/2005,Terrestrial,20-99,Dense Throughout,6-25%,Yes,James Wickis
Frangula alnus,MA,Middlesex,Hopkinton,Hopkinton State Park picnic area at upper beach,42.25853,-71.51669,354,GPS,6/24/2005,Terrestrial,Less than 20,Single Patch,1-5%,Yes,James Wickis
Frangula alnus,MA,Middlesex,Hopkinton,Hopkinton State Park below dam small wooded spot,42.25811,-71.51117,289,GPS,6/24/2005,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,James Wickis
Frangula alnus,MA,Middlesex,Lexington,Summer Street,42.43472,-71.18639,182,Map,7/11/2004,Terrestrial,Less than 20,Dense Throughout,26-50%,Yes,Nell Walker
Frangula alnus,MA,Middlesex,Lexington,Little Pond,42.44056,-71.17972,0,Map,7/17/2004,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Nell Walker
Frangula alnus,MA,Middlesex,Lexington,Summer St. (2A) th: 400'N on main trail took faint path uphill to the E. 150'.  Plot off path 50' to the north (downhill).,42.43556,-71.18556,194,Map,7/11/2004,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Nell Walker
Frangula alnus,MA,Middlesex,Lincoln,Drumlin Farm Bird Sanctuary; Past red barn approximately 225 feet along the woodland trail,42.40444,-71.3325,194,Map,10/27/2003,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Deepti Zaremba
Frangula alnus,MA,Middlesex,Lowell,Lowell Dracut Tyngsboro State Forest,42.83806,-71.46222,177,GPS,8/3/2004,Terrestrial,20-99,Evenly Sparse,1-5%,Yes,Deborah Brown
Frangula alnus,MA,Middlesex,Marlborough,Callahan State Park; Take Edmands Road West from intersection with Nixon Road.  Take Backpacker Trail North to Beebe Pond.  Take trail - Southeast side of pond.,42.33253,-71.48806,335,GPS,11/8/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Marlborough,Callahan State Park; Take Edmands Road West from intersection with Nixon Road.  Take Backpacker Trail North.  ,42.33669,-71.48944,364,GPS,11/8/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Marlborough,on city of Marlborough land to the east of Cranberry Brook south border of Old Concord Rd. Trail,42.37875,-71.48092,193.57,Map,9/3/2003,Terrestrial,20-99,Evenly Sparse,1-5%,Yes,Karen Longeteig
Frangula alnus,MA,Middlesex,Maynard,within Pantry Brook Wildlife Mgt. Area trail in back of Lincoln-Sudbury High School. Near second wildlife mangement sign we took a foot path to right,42.39791,-71.39635,144.36,Map,8/9/2003,Terrestrial,100-999,Evenly Sparse,6-25%,Yes,Karen Longeteig
Frangula alnus,MA,Middlesex,Medford,north of South Border Road south of the reservoirs  at second parking lot walk in and then at the top bear right keep walking till a relatively open area. Middlesex Fells Western section,42.49917,-71.3175,150,GPS,9/4/2005,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Shirley,Spruce Swamp Brook between Holden Road and Center Road,42.56897,-71.65806,105,GPS,6/23/2004,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Jim Snyder-Grant
Frangula alnus,MA,Middlesex,Shirley,Holden Road Conservation Area,42.56663,-71.66103,335,GPS,6/23/2004,Terrestrial,20-99,Single Patch,1-5%,Yes,Jim Snyder-Grant
Frangula alnus,MA,Middlesex,Stoneham,Whip Hill Area - park in lot across from Stone Zoo - walk through kid's playground to trail - walk a short distance ahead to T - turn right - go ~220 paces,42.65167,-71.17333,100,GPS,8/13/2005,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Sudbury,Going North on Edgell Road from Water Street intersection cross over town line and park in Nobscot Boy Scout Reservation parking lot.  Walk past latrines Northwest onto trail.,42.3495,-71.44175,256,GPS,10/25/2002,Terrestrial,Single Plant,No Invasives,Less than 1%,No,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Sudbury,Go North on Edgell Road from intersection with Water Street.  Cross town line and turn into Nobscot Boy Scout Reservation parking lot.  Walk past latrine Northwest onto trail.,42.35447,-71.44319,374,GPS,10/25/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Sudbury,Go North on Edgell Road from intersection with Water Street.  Cross over town line and park in Nobscot Boy Scout Reservation parking lot.  Walk past latrine Northwest onto trail.  Head North-Northwest.,42.35106,-71.45017,423,GPS,10/25/2002,Terrestrial,20-99,No Invasives,1-5%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Sudbury,Go North on Edgell Road from intersection with Water Street.  Cross over town line and park in Nobscot Boy Scout Reservation lot.  Walk past latrines Northwest onto trail.  Head Northwest then West.  ,42.35031,-71.45342,433,GPS,10/25/2002,Terrestrial,20-99,No Invasives,1-5%,Yes,Danielle Ogurcak
Frangula alnus,MA,Middlesex,Sudbury,edge of Pantry Brook Wildlife Management Area,42.39977,-71.39109,141.08,Map,8/9/2003,Terrestrial,100-999,Evenly Sparse,6-25%,Yes,Karen Longeteig
Frangula alnus,MA,Middlesex,Sudbury,Behind Lincoln-Sudbury H.S. between hilltop field (playing field) and trail,42.40022,-71.39728,144.36,GPS,8/9/2003,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Karen Longeteig
Frangula alnus,MA,Middlesex,Tyngsborough,Lowell Dracut Tyngsboro State Forest,0,0,185,GPS,9/25/2004,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Deborah Brown
Frangula alnus,MA,Middlesex,Tyngsborough,Lowell Dracut Tyngsboro State Forest,0,0,201,GPS,9/25/2004,Terrestrial,Single Plant,Dense Throughout,1-5%,Yes,Deborah Brown
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/ Wakefield High School,42.49601,-71.04078,49,Map,7/1/2008,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/ Wakefield High School,42.49573,-71.041,59,Map,7/1/2008,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/Wakefield High School,42.49552,-71.04106,69,Map,7/1/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/Wakefield High School,42.49541,-71.04118,78,Map,7/1/2008,Terrestrial,100-999,Multiple Patches,26-50%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/Wakefield High School,42.49499,-71.04159,69,Map,7/1/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/Wakefield High School,42.4909,-71.04413,168,Map,7/1/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Wakefield,Breakheart Reservation/Wakefield High School,42.49346,-71.04288,128,Map,7/1/2008,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Middlesex,Weston,Cat Rock Park (Little Leage playing field); About 250 feet from Western boundary downslope from trailhead 50 feet right over bridge 60 feet fork right on trail 350 feet,42.3875,-71.27861,151,Map,10/27/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Deepti Zaremba
Frangula alnus,MA,Middlesex,Weston,Catrock Park; About 85 feet from West boundary of park,42.38611,-71.27639,144,Map,10/27/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Deepti Zaremba
Frangula alnus,MA,Middlesex,Woburn,on raised trail between Cattail Pond and Fowle Brook ,42.5575,-71.21722,50,GPS,7/26/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,Horn Pond off of Lexington St. off of the road to the Community Gardens. Walk along path to N. side of Cattail Pond.  Opposite brick house to right is Phragmites patch,42.56167,-71.22778,50,GPS,7/26/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,On raised trail between Cattail Pond and Fowle Brook.  Park at Farmer's entrance off Lexington St.  Walk straight ahead.  At T turn right.  Plant on right marsh side,42.55583,-71.23972,50,GPS,7/26/2005,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,take path to left from west end of raised sewer pipe trail where there are two bridges.  It leads to the Powerlines.  Continue on this past intersection with trail to left.  Site area should be obvious.,42.52528,-71.20194,65,GPS,9/24/2005,Terrestrial,20-99,Evenly Sparse,1-5%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,base if NW side under powerlines,42.67361,-71.3,0,GPS,9/24/2005,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,drive in Sylvanus Woods Road to very end to circle.  Park. Walk in towards new town houses.  Halfway on the left is the ugly conglomeration.,42.53806,-71.31,0,GPS,10/3/2005,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,Some distance south and west of Whispering Hill in the woods,42.57139,-71.31472,0,GPS,10/3/2005,Terrestrial,20-99,Single Patch,1-5%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,gas line midway along path,42.58806,-71.38944,0,GPS,10/3/2005,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Betty Wright
Frangula alnus,MA,Middlesex,Woburn,Whittemore Pond,42.48085,-71.1265,49,Map,7/18/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Norfolk,Avon,D. W. Field Park - Lake Waldo,42.11037,-71.04832,195,GPS,5/27/2008,Terrestrial,Less than 20,Evenly Sparse,1-5%,Yes,Harold Frost
Frangula alnus,MA,Norfolk,Avon,D. W. Field Park - woodland NE of Lake Waldo,42.11437,-71.0482,213,GPS,5/27/2008,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Harold Frost
Frangula alnus,MA,Norfolk,Avon,D. W. Field Park - in powerline R.O.W. near Harrison Blvd.,42.12338,-71.0583,277,GPS,7/5/2008,Terrestrial,Less than 20,Evenly Sparse,,Yes,Harold Frost
